PositionGroup,Age,PredictedValuePctOfPeak
GK,15,-0.2993788726077333
GK,16,-0.18325543519947352
GK,17,-0.07508384889870334
GK,18,0.025135886294576304
GK,19,0.11740377038036587
GK,20,0.20171980335866513
GK,21,0.2780839852294743
GK,22,0.3464963159927936
GK,23,0.40695679564862264
GK,24,0.45946542419696135
GK,25,0.50402220163781
GK,26,0.540627127971169
GK,27,0.5692802031970383
GK,28,0.5899814273154167
GK,29,0.602730800326305
GK,30,0.6075283222297037
GK,31,0.6043739930256105
GK,32,0.5932678127140294
GK,33,0.5742097812949565
GK,34,0.5471998987683948
GK,35,0.5122381651343417
GK,36,0.4693245803927999
GK,37,0.41845914454376665
GK,38,0.35964185758724465
GK,39,0.29287271952323035
DEF,16,-0.1884483615849617
DEF,17,-0.03803499514020725
DEF,18,0.09786574209168775
DEF,19,0.21925385011072285
DEF,20,0.32612932891689805
DEF,21,0.4184921785102129
DEF,22,0.4963423988906688
DEF,23,0.5596799900582647
DEF,24,0.6085049520130017
DEF,25,0.6428172847548783
DEF,26,0.6626169882838946
DEF,27,0.6679040626000523
DEF,28,0.6586785077033497
DEF,29,0.6349403235937876
DEF,30,0.5966895102713652
DEF,31,0.5439260677360833
DEF,32,0.476649995987942
DEF,33,0.39486129502694123
DEF,34,0.2985599648530801
MID,15,-0.2644810322912152
MID,16,-0.11502814934983974
MID,17,0.021471197247459273
MID,18,0.14501700750068158
MID,19,0.2556092814098263
MID,20,0.35324801897489566
MID,21,0.4379332201958883
MID,22,0.5096648850728043
MID,23,0.5684430136056431
MID,24,0.6142676057944065
MID,25,0.647138661639092
MID,26,0.6670561811397029
MID,27,0.6740201642962349
MID,28,0.6680306111086907
MID,29,0.649087521577072
MID,30,0.6171908957013743
MID,31,0.5723407334816022
MID,32,0.5145370349177512
MID,33,0.44377980000982387
FWD,15,-0.14396823113455381
FWD,16,-0.025617777813218057
FWD,17,0.08310577379790507
FWD,18,0.18220242369881512
FWD,19,0.2716721718895132
FWD,20,0.3515150183699991
FWD,21,0.42173096314027125
FWD,22,0.48232000620033233
FWD,23,0.5332821475501803
FWD,24,0.5746173871898153
FWD,25,0.6063257251192384
FWD,26,0.6284071613384494
FWD,27,0.6408616958474482
FWD,28,0.6436893286462322
FWD,29,0.6368900597348057
FWD,30,0.6204638891131662
FWD,31,0.5944108167813145
FWD,32,0.5587308427392506
FWD,33,0.5134239669869736
FWD,34,0.4584901895244844
FWD,35,0.39392951035178303
FWD,36,0.3197419294688677
FWD,37,0.23592744687574108
FWD,38,0.14248606257240137
FWD,39,0.03941777655885037
FWD,40,-0.07327741116491371
